codigo,descripcion,tarifa1
990VARIOS,ARTICULO COMODIN,0
99017RIOS,ARTICULO COMODIN_LMV,0
99016RIOS,ARTICULO COMODIN_LMN,0
99014RIOS,ARTICULO COMODIN_LMP,0
99012RIOS,ARTICULO COMODIN_LC4,0
99011RIOS,ARTICULO COMODIN_LC3,0
99010RIOS,ARTICULO COMODIN_LC2,0
99009RIOS,ARTICULO COMODIN_AOC,0
99008RIOS,ARTICULO COMODIN_INOX,0
99007RIOS,ARTICULO COMODIN_LMD,0
99006RIOS,ARTICULO COMODIN_LC1,0
99005RIOS,ARTICULO COMODIN_LBN,0
99004RIOS,ARTICULO COMODIN_BEB,0
99003RIOS,ARTICULO COMODIN_OEB,0
99002RIOS,ARTICULO COMODIN_PEB,0
99001RIOS,ARTICULO COMODIN_PMD,0
980,OFERTA ESPECIAL ESTE PEDIDO,0
970,PRECIO ESP.PERFILES ACORDADOS,0
60010230091,MARCO FIJO CLIP 2300_LC2,0
770126501,RASTREL SOLUXE_LC4,0
770126500,BASTIDOR SOLUXE_LC4,0
770126499,LAMA SOLUXE_LC4,0
770086501,RASTREL SOLUXE_INOX,0
770086500,BASTIDOR SOLUXE_INOX,0
770086499,LAMA SOLUXE_INOX,0
770056501,RASTREL SOLUXE_LBN,0
770056499,LAMA SOLUXE_LBN,0
770026501,RASTREL SOLUXE_PEB,0
770026499,LAMA SOLUXE_PEB,0
770016501,RASTREL SOLUXE_PMD,0
770016500,BASTIDOR SOLUXE_PMD,0
770016499,LAMA SOLUXE_PMD,0
770006501,RASTREL SOLUXE_CSA,0
770006500,BASTIDOR SOLUXE_CSA,0
770006499,LAMA SOLUXE_CSA,0
770,SERIE SOLUXE,0
76000TA025,JGO.TAPAS INVERSOR CANAL 16,0
76000JU005,JUNTA EXTERIOR CANAL 16,0
76000JU004,JUNTA INTERIOR CANAL 16,0
76000JU001,JUNTA CENTRAL CANAL 16,0
76000ES035,ESCUADRA CANAL 16,0
76000ES034,ESCUADRA MARCO CANAL 16,0
76000EA008,ESCUADRA ALINEACION 14x1,1 CANAL 16,0
76000EA002,ESCUADRA ALINEACION 5x0,8 CANAL 16,0
760,ACC.ABISAGRADO CANAL 16,0
7501216002,MARCO VENTANA CAMARA 16_LC4,0
7501216001,HOJA VENTANA CAMARA 16_LC4,0
7501216000,PILASTRA CAMARA 16_LC4,0
7500816010,INVERSOR CAMARA 16_INOX,0
7500816002,MARCO VENTANA CAMARA 16_INOX,0
7500816001,HOJA VENTANA CAMARA 16_INOX,0
7500816000,PILASTRA CAMARA 16_INOX,0
7500716010,INVERSOR CAMARA 16_LMD,0
7500716002,MARCO VENTANA CAMARA 16_LMD,0
7500716001,HOJA VENTANA CAMARA 16_LMD,0
7500716000,PILASTRA CAMARA 16_LMD,0
7500616010,INVERSOR CAMARA 16_LC1,0
7500616002,MARCO VENTANA CAMARA 16_LC1,0
7500616001,HOJA VENTANA CAMARA 16_LC1,0
7500616000,PILASTRA CAMARA 16_LC1,0
7500516010,INVERSOR CAMARA 16_LBN,0
7500516002,MARCO VENTANA CAMARA 16_LBN,0
